time,x_original,x_drift,x_amplitude_scaled,x_lowfreq,v_original,v_drift,v_amplitude_scaled,v_lowfreq,a_original,a_drift,a_amplitude_scaled,a_lowfreq
0.91,-0.00965312228666259,-0.00874312228666259,-0.014479683429993884,-0.0015501717468444532,-0.008256651935714817,-0.0073466519357148164,-0.012384977903572226,-0.031236672926832795,0.09653122286663887,0.09744122286663887,0.14479683429995832,0.015501717468443537
0.92,-0.009730842814744385,-0.008810842814744384,-0.014596264222116576,-0.001737347967497489,-0.007287453680644219,-0.006367453680644219,-0.010931180520966328,-0.031139304108929598,0.09730842814748072,0.09822842814748073,0.14596264222122107,0.017373479674971087
0.93,-0.009798834932114111,-0.00886883493211411,-0.014698252398171166,-0.0019238542839484364,-0.0063109697933010096,-0.005380969793301009,-0.009466454689951515,-0.031029468041386257,0.0979883493211611,0.0989183493211611,0.14698252398174166,0.019238542839475976
0.9400000000000001,-0.009857030663648179,-0.00891703066364818,-0.014785545995472268,-0.0021095663897296125,-0.005328176513512622,-0.004388176513512622,-0.007992264770268933,-0.030907237929946364,0.09857030663651642,0.09951030663651642,0.14785545995477462,0.021095663897284872
0.9500000000000001,-0.009905371828160352,-0.008955371828160353,-0.014858057742240529,-0.0022948813901759024,-0.0043400563889220475,-0.003390056388922047,-0.006510084583383071,-0.03077881079655819,0.09905371828159851,0.10000371828159851,0.14858057742239777,0.022948813901745774
0.96,-0.00994381009656839,-0.008983810096568389,-0.014915715144852584,-0.002478819805934258,-0.003347597292685379,-0.002387597292685379,-0.0050213959390280685,-0.030631920992359743,0.09943810096573522,0.10039810096573522,0.1491571514486028,0.024788198059340454
0.97,-0.009972307040211048,-0.009002307040211047,-0.01495846056031657,-0.002662238062649089,-0.00235179143584626,-0.00138179143584626,-0.00352768715376939,-0.030478925915588193,0.09972307040208864,0.10069307040208864,0.14958460560313297,0.02662238062649201
0.98,-0.00999083416926714,-0.00901083416926714,-0.014986251253900712,-0.0028446160012768652,-0.0013536343753723446,-0.0003736343753723446,-0.002030451563058517,-0.030313720293670448,0.09990834169269444,0.10088834169269444,0.14986251253904165,0.028446160012757255
0.99,-0.009999372961238238,-0.009009372961238238,-0.014999059441857357,-0.0030258320669138946,-0.0003541240188470523,0.0006358759811529477,-0.0005311860282705785,-0.03013641423616038,0.099993729612364,0.100983729612364,0.149990594418546,0.030258320669132793
1.0,-0.009997914879466533,-0.008997914879466534,-0.0149968723191998,-0.0032064671960555504,0.0006457403731880617,0.0016457403731880618,0.0009686105597820926,-0.02995305796085415,0.09997914879465883,0.10097914879465883,0.14996872319198823,0.03206467196056348
